id,user,gender,first_name,last_name,cpf,birthday,email,phone,cell,address,district,city,uf,cep,occupation,dealership,comissioned,comission,created_at,modified_at
17,18,M,Evelyn,Herring,07500107959,1928-04-24,e.herring@example.com,(31) 0054-6508,(43) 6243-7964,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,46,True,0.01,2015-06-08 02:49:28.327342+00,2015-06-08 02:49:28.327342+00
18,19,M,Anne,Rodriguez,97686547156,1987-08-04,a.rodriguez@example.com,(22) 1451-8877,(15) 9070-5097,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,39,True,0.01,2015-06-08 02:49:28.327553+00,2015-06-08 02:49:28.327553+00
19,20,F,German,Morgia,74324944756,1944-12-01,g.morgia@example.com,(97) 7581-0797,(20) 6188-2519,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,101,False,0,2015-06-08 02:49:28.327767+00,2015-06-08 02:49:28.327767+00
20,21,M,Pamela,Mulvaney,95343670730,1969-01-25,p.mulvaney@example.com,(54) 4660-3201,(34) 9114-0060,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,67,True,0.01,2015-06-08 02:49:28.327982+00,2015-06-08 02:49:28.327982+00
21,22,M,Aletha,Pollard,56067699139,1956-11-08,a.pollard@example.com,(29) 0964-5164,(71) 0484-3092,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,106,True,0.01,2015-06-08 02:49:28.328317+00,2015-06-08 02:49:28.328317+00
22,23,M,Melissa,Turzak,29051004187,1987-04-20,m.turzak@example.com,(17) 1928-4424,(03) 1036-6181,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,1,102,False,0,2015-06-08 02:49:28.328762+00,2015-06-08 02:49:28.328762+00
23,24,F,Edward,Thoren,12285629030,1940-06-03,e.thoren@example.com,(40) 9944-0524,(12) 9913-7717,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,62,True,0.01,2015-06-08 02:49:28.329148+00,2015-06-08 02:49:28.329148+00
24,25,F,Danielle,Hager,58900362575,1959-08-24,d.hager@example.com,(31) 8708-4492,(24) 6136-4634,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,146,True,0.01,2015-06-08 02:49:28.329545+00,2015-06-08 02:49:28.329545+00
25,26,F,Richard,Price,54930556170,1983-07-05,r.price@example.com,(46) 0308-5631,(90) 6068-1085,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,109,True,0.01,2015-06-08 02:49:28.329960+00,2015-06-08 02:49:28.329960+00
26,27,F,Benjamin,Smoot,64225600165,1994-03-04,b.smoot@example.com,(56) 2377-1433,(58) 3847-1696,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,65,False,0,2015-06-08 02:49:28.330372+00,2015-06-08 02:49:28.330372+00
27,28,M,Sophie,Farley,11964716377,1921-05-11,s.farley@example.com,(64) 0025-0388,(91) 2427-9415,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,2,43,False,0,2015-06-08 02:49:28.330745+00,2015-06-08 02:49:28.330745+00
28,29,M,James,Hanna,33692173954,1948-11-27,j.hanna@example.com,(23) 1135-3440,(16) 4109-9912,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,117,False,0,2015-06-08 02:49:28.331071+00,2015-06-08 02:49:28.331071+00
29,30,M,Teresa,Becwar,03688521913,1920-11-25,t.becwar@example.com,(05) 5968-4356,(14) 6441-5789,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,72,True,0.01,2015-06-08 02:49:28.331303+00,2015-06-08 02:49:28.331303+00
30,31,M,Mark,Sims,96259151699,1947-09-28,m.sims@example.com,(82) 4253-4965,(75) 8292-3339,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,98,False,0,2015-06-08 02:49:28.331516+00,2015-06-08 02:49:28.331516+00
31,32,F,Mary,Malinowski,61374563945,1975-03-18,m.malinowski@example.com,(93) 8017-7941,(75) 4801-4720,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,143,True,0.01,2015-06-08 02:49:28.331734+00,2015-06-08 02:49:28.331734+00
32,33,M,Cora,Kidd,30734447475,1920-12-14,c.kidd@example.com,(86) 9193-1702,(42) 1039-9923,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,122,False,0,2015-06-08 02:49:28.331943+00,2015-06-08 02:49:28.331943+00
33,34,F,Alberta,York,74352526222,1989-11-17,a.york@example.com,(60) 6900-9371,(87) 9410-7157,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,38,False,0,2015-06-08 02:49:28.332151+00,2015-06-08 02:49:28.332151+00
34,35,F,Manuel,Weldon,05728820236,1940-02-03,m.weldon@example.com,(27) 8247-6847,(58) 2656-9972,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,8,True,0.01,2015-06-08 02:49:28.332360+00,2015-06-08 02:49:28.332360+00
35,36,F,Jessica,Mcatee,50292823885,1962-09-02,j.mcatee@example.com,(10) 1265-9996,(65) 0271-0572,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,68,True,0.01,2015-06-08 02:49:28.332606+00,2015-06-08 02:49:28.332606+00
36,37,M,Pamela,Silva,59941217994,1936-06-22,p.silva@example.com,(88) 9563-9029,(38) 4221-7876,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,60,False,0,2015-06-08 02:49:28.332824+00,2015-06-08 02:49:28.332824+00
37,38,M,Larry,Mildren,89767692626,1956-08-01,l.mildren@example.com,(63) 2277-1418,(56) 8105-1176,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,58,False,0,2015-06-08 02:49:28.333037+00,2015-06-08 02:49:28.333037+00
38,39,F,Christopher,Russo,47609453399,1947-07-03,c.russo@example.com,(28) 4240-5124,(00) 9435-9089,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,3,18,True,0.01,2015-06-08 02:49:28.333247+00,2015-06-08 02:49:28.333247+00
39,40,M,Edna,Nolasco,81842380027,1963-07-20,e.nolasco@example.com,(89) 1037-4671,(43) 9836-3316,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,68,True,0.01,2015-06-08 02:49:28.333634+00,2015-06-08 02:49:28.333634+00
40,41,F,Rosario,Jones,48642972217,1936-01-04,r.jones@example.com,(17) 2790-5364,(41) 8398-5886,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,2,118,False,0,2015-06-08 02:49:28.334022+00,2015-06-08 02:49:28.334022+00
41,42,M,Grace,Dominguez,79588205824,1952-08-16,g.dominguez@example.com,(97) 0395-7406,(24) 2152-0738,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,125,True,0.01,2015-06-08 02:49:28.334459+00,2015-06-08 02:49:28.334459+00
42,43,M,Bunny,Russell,45758368691,1924-10-27,b.russell@example.com,(81) 4100-8018,(88) 8547-3966,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,62,True,0.01,2015-06-08 02:49:28.334863+00,2015-06-08 02:49:28.334863+00
43,44,M,Jamie,Preston,59863511696,1919-12-08,j.preston@example.com,(75) 3307-6523,(72) 3182-4434,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,1,126,False,0,2015-06-08 02:49:28.335248+00,2015-06-08 02:49:28.335248+00
44,45,M,Russell,Manning,23214034533,1951-11-04,r.manning@example.com,(31) 4842-3628,(09) 2061-1248,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,3,16,True,0.01,2015-06-08 02:49:28.335624+00,2015-06-08 02:49:28.335624+00
45,46,M,Eric,Walker,34232219369,1946-09-14,e.walker@example.com,(39) 2112-4066,(24) 5445-8998,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,71,False,0,2015-06-08 02:49:28.336003+00,2015-06-08 02:49:28.336003+00
46,47,F,Vivian,Hader,11829266457,1957-07-01,v.hader@example.com,(34) 3897-7332,(16) 5973-6069,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,43,False,0,2015-06-08 02:49:28.336381+00,2015-06-08 02:49:28.336381+00
47,48,F,Jennifer,Bergman,35512846318,1940-02-13,j.bergman@example.com,(54) 6879-2753,(08) 5180-2862,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,96,True,0.01,2015-06-08 02:49:28.336797+00,2015-06-08 02:49:28.336797+00
48,49,F,Lorena,Crockette,37151986660,1985-12-08,l.crockette@example.com,(44) 2977-9539,(75) 8835-1051,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,146,True,0.01,2015-06-08 02:49:28.337181+00,2015-06-08 02:49:28.337181+00
49,50,F,Jeffrey,Moody,59659086055,1945-05-23,j.moody@example.com,(59) 3240-0313,(45) 7430-3416,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,6,False,0,2015-06-08 02:49:28.337563+00,2015-06-08 02:49:28.337563+00
50,51,M,Ella,Fronczak,25086984659,1924-11-15,e.fronczak@example.com,(28) 7212-2667,(89) 5763-1412,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,117,True,0.01,2015-06-08 02:49:28.337940+00,2015-06-08 02:49:28.337940+00
51,52,M,Eric,Borden,10855438600,1953-07-07,e.borden@example.com,(06) 3783-1169,(24) 7578-3128,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,61,True,0.01,2015-06-08 02:49:28.338323+00,2015-06-08 02:49:28.338323+00
52,53,M,Michael,Sharp,51882726776,1992-05-14,m.sharp@example.com,(22) 3163-2489,(73) 1834-7443,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,146,True,0.01,2015-06-08 02:49:28.338767+00,2015-06-08 02:49:28.338767+00
53,54,M,Ronald,Romero,83678821423,1917-01-01,r.romero@example.com,(76) 2542-8395,(70) 2644-8986,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,2,1,False,0,2015-06-08 02:49:28.339146+00,2015-06-08 02:49:28.339146+00
54,55,F,Maria,Zumwalt,05388993805,1974-09-12,m.zumwalt@example.com,(05) 7545-4803,(62) 7825-2521,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,132,False,0,2015-06-08 02:49:28.339549+00,2015-06-08 02:49:28.339549+00
55,56,M,Robert,Grindstaff,64631927217,1937-07-17,r.grindstaff@example.com,(74) 4989-5057,(65) 0001-3284,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,84,False,0,2015-06-08 02:49:28.339943+00,2015-06-08 02:49:28.339943+00
56,57,F,Annette,Caldwell,32062744842,1935-10-15,a.caldwell@example.com,(00) 0409-9574,(12) 3589-0745,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,90,True,0.01,2015-06-08 02:49:28.340331+00,2015-06-08 02:49:28.340331+00
57,58,M,Elizabeth,Washington,01425293446,1988-02-13,e.washington@example.com,(09) 1936-6627,(99) 9484-3450,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,76,False,0,2015-06-08 02:49:28.340702+00,2015-06-08 02:49:28.340702+00
58,59,F,Aurora,Perez,87962677941,1992-09-27,a.perez@example.com,(65) 1303-9775,(76) 9176-8803,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,57,False,0,2015-06-08 02:49:28.340921+00,2015-06-08 02:49:28.340921+00
59,60,M,Anna,Marsaw,90552109172,1992-07-16,a.marsaw@example.com,(55) 7996-4716,(87) 0455-2501,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,87,False,0,2015-06-08 02:49:28.341133+00,2015-06-08 02:49:28.341133+00
60,61,F,Keith,Lazaroff,75712309176,1955-03-03,k.lazaroff@example.com,(41) 9028-8095,(58) 8419-1720,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,43,False,0,2015-06-08 02:49:28.341352+00,2015-06-08 02:49:28.341352+00
61,62,F,William,Nostrand,41641518832,1941-01-07,w.nostrand@example.com,(11) 5421-4831,(55) 8422-9121,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,75,True,0.01,2015-06-08 02:49:28.341564+00,2015-06-08 02:49:28.341564+00
62,63,M,Barbara,Hernandez,50388431050,1946-08-14,b.hernandez@example.com,(12) 4592-1475,(73) 8641-6022,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,133,True,0.01,2015-06-08 02:49:28.341845+00,2015-06-08 02:49:28.341845+00
63,64,F,Murray,Haslett,36163808061,1957-07-08,m.haslett@example.com,(96) 9802-0235,(90) 7354-0476,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,96,False,0,2015-06-08 02:49:28.342246+00,2015-06-08 02:49:28.342246+00
64,65,M,Dana,Short,04723169630,1949-05-20,d.short@example.com,(23) 4057-1261,(94) 7957-8960,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,1,119,False,0,2015-06-08 02:49:28.342613+00,2015-06-08 02:49:28.342613+00
65,66,M,Mary,Barlow,55093876955,1926-01-14,m.barlow@example.com,(15) 5358-6804,(68) 5839-1629,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,136,True,0.01,2015-06-08 02:49:28.342987+00,2015-06-08 02:49:28.342987+00
66,67,M,Barbara,Beam,73527018288,1933-06-28,b.beam@example.com,(24) 2745-9254,(21) 1063-8258,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,2,126,False,0,2015-06-08 02:49:28.343225+00,2015-06-08 02:49:28.343225+00
67,68,M,Maria,Woodyard,43231135387,1953-01-04,m.woodyard@example.com,(83) 9303-9604,(53) 2357-6391,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,105,False,0,2015-06-08 02:49:28.343443+00,2015-06-08 02:49:28.343443+00
68,69,F,Yesenia,Karst,64596617213,1960-12-22,y.karst@example.com,(74) 3184-3353,(21) 1094-6733,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,124,False,0,2015-06-08 02:49:28.343654+00,2015-06-08 02:49:28.343654+00
69,70,F,Mike,Bohannon,81093020322,1936-10-12,m.bohannon@example.com,(14) 6725-3717,(57) 3165-4471,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,141,False,0,2015-06-08 02:49:28.343866+00,2015-06-08 02:49:28.343866+00
70,71,F,Deborah,Washington,88494346398,1948-03-10,d.washington@example.com,(51) 1442-0911,(51) 3073-6363,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,118,False,0,2015-06-08 02:49:28.344078+00,2015-06-08 02:49:28.344078+00
71,72,F,Hope,Thompson,84974867960,1950-09-12,h.thompson@example.com,(94) 6816-6002,(56) 9464-9172,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,137,False,0,2015-06-08 02:49:28.344291+00,2015-06-08 02:49:28.344291+00
72,73,F,Jeffrey,Mcclure,00626407555,1966-07-12,j.mcclure@example.com,(02) 8839-8026,(21) 7715-6300,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,14,True,0.01,2015-06-08 02:49:28.344520+00,2015-06-08 02:49:28.344520+00
73,74,F,Gail,Johnson,36935792127,1981-10-01,g.johnson@example.com,(18) 9686-4741,(25) 0396-5656,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,65,True,0.01,2015-06-08 02:49:28.344756+00,2015-06-08 02:49:28.344756+00
74,75,M,Charles,Kozlowski,52272438257,1933-03-11,c.kozlowski@example.com,(01) 8437-4355,(13) 5136-0079,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,88,True,0.01,2015-06-08 02:49:28.345141+00,2015-06-08 02:49:28.345141+00
75,76,F,Nancy,Allaire,31260778299,1977-04-26,n.allaire@example.com,(29) 6718-5886,(14) 9737-9057,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,14,True,0.01,2015-06-08 02:49:28.345540+00,2015-06-08 02:49:28.345540+00
76,77,M,Mike,Hildebrandt,47938215207,1962-09-22,m.hildebrandt@example.com,(82) 3610-1998,(24) 8761-2495,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,37,False,0,2015-06-08 02:49:28.345927+00,2015-06-08 02:49:28.345927+00
77,78,M,Mae,Mahoney,43675694072,1985-03-04,m.mahoney@example.com,(96) 7002-9038,(33) 2136-4994,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,101,False,0,2015-06-08 02:49:28.346337+00,2015-06-08 02:49:28.346337+00
78,79,M,Mark,Burton,01162945538,1967-02-25,m.burton@example.com,(40) 7491-7926,(02) 0968-3374,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,3,80,True,0.01,2015-06-08 02:49:28.346752+00,2015-06-08 02:49:28.346752+00
79,80,M,James,Jackson,01269420085,1945-03-27,j.jackson@example.com,(05) 7493-2514,(05) 2187-5310,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,2,32,False,0,2015-06-08 02:49:28.347129+00,2015-06-08 02:49:28.347129+00
80,81,F,Ella,Johnson,42199603205,1977-03-11,e.johnson@example.com,(02) 6893-8489,(92) 8173-3840,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,52,False,0,2015-06-08 02:49:28.347441+00,2015-06-08 02:49:28.347441+00
81,82,F,Juan,Baker,02663423325,1981-04-15,j.baker@example.com,(93) 3080-3754,(70) 0064-6200,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,65,False,0,2015-06-08 02:49:28.347660+00,2015-06-08 02:49:28.347660+00
82,83,F,Karen,Hayes,78485950067,1967-06-01,k.hayes@example.com,(07) 9545-1318,(84) 5146-4368,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,144,True,0.01,2015-06-08 02:49:28.347873+00,2015-06-08 02:49:28.347873+00
83,84,F,Lorraine,Harbison,74859672873,1927-03-06,l.harbison@example.com,(91) 8358-6693,(09) 9116-8579,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,135,False,0,2015-06-08 02:49:28.348084+00,2015-06-08 02:49:28.348084+00
84,85,M,Leona,Conner,26192150685,1972-10-05,l.conner@example.com,(94) 7308-5869,(07) 0584-3985,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,16,False,0,2015-06-08 02:49:28.348295+00,2015-06-08 02:49:28.348295+00
85,86,M,Joan,Taylor,89214576623,1931-02-24,j.taylor@example.com,(81) 2745-6712,(58) 7595-4767,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,1,139,False,0,2015-06-08 02:49:28.348653+00,2015-06-08 02:49:28.348653+00
86,87,M,Brittany,Lemmon,49437212891,1983-10-11,b.lemmon@example.com,(98) 1682-1407,(70) 2688-7660,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,86,True,0.01,2015-06-08 02:49:28.348976+00,2015-06-08 02:49:28.348976+00
87,88,F,Sheena,Brimmage,07723417218,1952-03-13,s.brimmage@example.com,(65) 0171-7855,(41) 1688-6828,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,4,36,False,0,2015-06-08 02:49:28.349230+00,2015-06-08 02:49:28.349230+00
88,89,M,Michael,Kinney,06818627816,1959-12-08,m.kinney@example.com,(24) 7261-6353,(88) 4096-7186,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,58,False,0,2015-06-08 02:49:28.349559+00,2015-06-08 02:49:28.349559+00
89,90,F,Cody,Balderas,22238795669,1928-12-09,c.balderas@example.com,(41) 7625-0337,(88) 4115-4134,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,3,30,True,0.01,2015-06-08 02:49:28.349830+00,2015-06-08 02:49:28.349830+00
90,91,F,Rebecca,Cooper,57321574168,1944-11-04,r.cooper@example.com,(25) 4087-6828,(39) 8473-9186,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,104,False,0,2015-06-08 02:49:28.350043+00,2015-06-08 02:49:28.350043+00
91,92,M,Mark,Mejia,88435722947,1978-03-25,m.mejia@example.com,(94) 9368-3640,(21) 7807-0470,"Av. Moreira Guimarães, 367",Moema,São Paulo,SP,04074-030,3,144,True,0.01,2015-06-08 02:49:28.350259+00,2015-06-08 02:49:28.350259+00
92,93,F,Joshua,Ashley,84940486955,1942-04-21,j.ashley@example.com,(81) 7035-4258,(78) 1876-4103,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,2,54,False,0,2015-06-08 02:49:28.350467+00,2015-06-08 02:49:28.350467+00
93,94,F,Delsie,Piper,73518092687,1933-10-05,d.piper@example.com,(47) 1722-4582,(93) 7463-6666,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,46,False,0,2015-06-08 02:49:28.350678+00,2015-06-08 02:49:28.350678+00
94,95,F,Jacqueline,Quon,12762710266,1958-11-16,j.quon@example.com,(90) 3169-3447,(04) 6712-5718,"Av. Indianópolis, 100",Indianópolis,São Paulo,SP,04062-000,4,111,False,0,2015-06-08 02:49:28.350889+00,2015-06-08 02:49:28.350889+00
95,96,F,Mikaela,Rudish,78980599528,1945-06-22,m.rudish@example.com,(08) 9738-6739,(85) 6050-1633,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,3,43,True,0.01,2015-06-08 02:49:28.351101+00,2015-06-08 02:49:28.351101+00
96,97,F,Shirley,Davis,99066246691,1922-08-17,s.davis@example.com,(66) 2065-5457,(61) 9598-2675,"Av. Ulisses Reis de Matos, 100",Morumbi,São Paulo,SP,00568-602,4,85,False,0,2015-06-08 02:49:28.351313+00,2015-06-08 02:49:28.351313+00
97,98,M,Norma,Jenkins,01866701039,1918-09-14,n.jenkins@example.com,(10) 7571-9683,(39) 9063-6019,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,9,False,0,2015-06-08 02:49:28.351527+00,2015-06-08 02:49:28.351527+00
98,99,M,George,Benitez,88688228812,1978-08-22,g.benitez@example.com,(07) 4986-6924,(31) 3483-1078,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,6,False,0,2015-06-08 02:49:28.351735+00,2015-06-08 02:49:28.351735+00
99,100,M,Debra,Bauman,65696220195,1967-10-23,d.bauman@example.com,(94) 5310-1078,(94) 8105-3070,"Av. Pacaembú, 380",Barra Funda,São Paulo,SP,01155-000,4,39,False,0,2015-06-08 02:49:28.351943+00,2015-06-08 02:49:28.351943+00
100,101,F,Joshua,Jackson,17959535880,1991-06-18,j.jackson@example.com,(80) 4238-3379,(85) 3345-9076,"Rua Padre Machado, 68",Vila Mariana,São Paulo,SP,04127-001,4,51,False,0,2015-06-08 02:49:28.352152+00,2015-06-08 02:49:28.352152+00
